474

5 8 16 20 27 31 39 46 49 57 
3 11 12 18 28 31 38 43 48 56 
0 9 15 18 26 32 37 42 49 56 
2 10 14 23 27 30 37 46 53 59 
5 10 12 19 29 30 38 45 49 55 
2 8 15 21 26 34 40 46 48 54 
1 8 16 19 24 31 38 47 48 55 
3 11 14 19 26 34 39 42 49 59 
5 10 15 20 24 33 37 42 51 58 
3 7 13 23 26 33 40 43 52 58 
4 11 15 19 25 35 37 46 53 55 
0 6 12 20 25 32 39 45 50 59 
2 8 12 22 28 31 40 44 49 59 
3 9 17 21 29 34 36 47 48 55 
2 11 17 22 27 31 37 43 52 58 
0 9 17 20 24 33 41 46 53 55 
2 6 14 23 26 32 36 45 52 54 
4 11 17 18 24 30 38 42 51 59 
1 7 15 19 27 33 37 45 49 57 
2 10 15 20 29 30 39 43 50 56 
4 9 15 21 29 31 38 44 50 57 
0 6 17 22 27 34 38 45 53 56 
5 7 14 21 26 33 38 47 51 57 
1 11 13 20 25 33 41 42 50 56 
2 8 16 18 25 35 36 42 53 54 
4 10 12 21 28 32 41 43 53 55 
3 10 13 22 25 35 40 45 51 55 
5 7 14 20 24 32 39 44 48 56 
0 8 14 18 29 34 39 43 48 58 
0 11 16 19 26 30 41 44 51 58 
3 6 13 18 28 32 36 46 50 58 
5 10 14 23 25 34 40 46 48 55 
5 9 12 21 27 31 37 47 48 56 
4 8 17 20 27 34 41 42 48 54 
1 10 12 20 28 31 39 47 52 54 
0 9 12 22 25 30 37 44 52 54 
4 9 13 18 28 35 39 44 49 57 
5 7 16 23 24 35 38 46 52 57 
5 10 17 22 29 32 40 47 49 58 
5 6 15 21 26 35 36 43 51 56 
2 11 17 23 29 34 36 44 50 59 
3 7 15 18 24 30 41 45 53 56 
1 9 17 19 28 35 41 43 49 59 
3 11 15 22 29 32 39 42 53 57 
4 6 16 23 24 31 41 42 50 58 
2 7 17 19 24 33 36 47 53 54 
3 8 16 21 25 33 40 44 50 57 
1 9 13 22 26 31 40 46 48 56 
0 6 12 23 28 33 37 42 52 57 
3 9 14 20 26 30 40 43 48 54 
1 11 14 21 28 32 38 45 50 55 
1 7 13 21 26 35 37 44 53 59 
3 7 16 20 27 33 36 42 49 56 
5 11 15 23 27 30 40 45 51 54 
4 8 12 18 24 32 37 43 51 59 
0 7 15 20 29 31 36 46 52 56 
3 10 16 18 26 34 38 46 52 58 
5 7 12 19 27 33 41 43 50 54 
1 6 13 19 29 31 39 45 51 58 
4 8 13 23 27 31 40 45 53 55 
3 6 12 21 24 32 38 46 49 54 
1 7 14 19 24 35 36 42 49 58 
2 11 12 22 25 33 38 46 48 59 
0 10 17 18 25 31 40 42 53 59 
5 8 17 22 24 30 41 43 48 57 
2 9 15 20 27 34 39 47 51 55 
0 6 16 19 27 35 39 47 50 54 
2 10 16 23 28 30 41 42 49 54 
4 6 13 20 29 34 40 42 52 59 
4 8 13 21 25 32 37 46 52 58 
3 11 14 18 26 31 36 44 51 55 
3 7 12 22 25 31 36 45 51 57 
4 7 13 22 29 34 38 43 49 56 
1 9 16 22 28 32 38 42 53 58 
0 7 14 19 28 34 37 43 52 55 
0 10 12 21 27 33 36 44 49 58 
5 9 12 23 26 32 39 43 53 55 
2 11 15 21 24 35 39 45 52 59 
1 10 15 22 26 30 37 45 50 59 
2 8 14 19 29 30 37 47 50 57 
5 10 13 22 28 33 41 44 53 56 
0 11 16 20 28 35 40 44 48 58 
1 10 14 23 25 35 38 47 50 54 
2 6 17 18 28 35 41 45 51 55 
1 7 16 18 29 31 40 43 51 55 
0 6 12 19 26 35 40 46 53 57 
3 9 17 20 24 35 38 42 50 56 
4 7 14 21 28 31 41 46 48 59 
1 8 12 20 26 35 38 45 52 57 
2 6 16 21 28 34 36 43 48 57 
4 11 16 23 26 32 37 47 48 56 
0 11 13 18 29 32 41 44 52 55 
3 8 17 19 25 31 37 44 49 54 
0 6 15 22 28 30 39 46 49 55 
3 9 17 23 27 33 39 45 48 59 
0 11 13 21 25 34 39 44 53 54 
4 9 12 22 24 35 36 42 52 55 
3 9 13 19 27 30 41 42 53 58 
1 8 14 20 29 33 37 44 53 56 
0 10 14 23 24 32 39 43 51 57 
4 8 15 18 25 33 39 47 49 59 
5 10 15 18 29 34 36 45 49 57 
1 11 12 20 27 30 36 43 53 58 
4 9 17 18 26 32 40 44 50 54 
2 11 13 21 29 33 37 42 51 55 
2 9 16 19 25 34 40 45 52 58 
1 8 17 21 24 30 36 46 51 58 
3 10 14 23 29 31 37 44 49 58 
3 8 15 19 28 35 36 47 52 58 
5 6 13 21 27 31 38 44 52 54 
2 6 12 23 29 30 41 46 50 56 
4 10 14 19 26 33 38 42 48 56 
5 11 16 22 25 34 39 43 51 58 
0 8 14 23 27 33 40 47 49 55 
1 6 15 20 25 32 38 44 49 57 
2 7 12 18 24 34 39 42 50 57 
5 10 16 19 28 35 37 45 51 59 
1 7 15 18 27 35 40 42 48 55 
2 8 12 19 27 32 40 43 52 56 
2 11 13 23 24 30 39 47 48 58 
0 8 12 21 26 31 41 42 50 58 
2 7 17 22 25 31 38 46 50 55 
0 9 14 18 25 34 41 44 50 59 
3 10 16 23 24 30 36 44 52 59 
1 6 15 19 24 34 41 43 52 54 
4 6 17 21 29 33 39 42 53 54 
5 11 14 20 25 32 36 46 50 54 
4 11 16 20 24 33 39 43 52 57 
5 7 17 23 26 32 41 46 49 54 
1 9 12 18 28 33 40 45 51 56 
0 6 14 20 24 30 37 45 51 57 
2 8 14 22 27 32 38 44 51 58 
1 10 16 21 27 31 41 47 51 56 
0 7 15 22 29 33 40 43 48 57 
5 8 13 18 28 34 37 47 53 57 
5 9 12 22 29 35 37 42 49 59 
1 9 13 23 26 34 36 46 51 57 
