333

0 6 12 18 24 30 
5 11 17 23 29 35 
5 11 14 19 28 34 
3 11 14 21 25 33 
1 11 17 20 28 32 
1 8 17 22 27 35 
4 8 16 23 26 34 
4 7 17 22 29 31 
2 11 15 18 27 35 
3 9 17 22 24 34 
3 10 16 23 29 30 
3 9 13 23 25 35 
3 9 12 19 29 31 
0 9 16 21 26 35 
4 10 13 20 28 30 
5 6 16 20 29 32 
3 7 16 18 28 33 
2 9 16 20 27 31 
5 6 15 21 28 31 
2 7 13 19 29 35 
0 11 14 23 26 32 
5 10 14 18 24 35 
2 8 14 22 28 33 
1 9 12 23 24 33 
5 11 15 22 25 32 
0 10 15 22 27 30 
1 6 12 22 28 34 
4 8 13 21 24 35 
2 10 12 19 26 33 
0 7 12 23 28 31 
5 7 13 21 25 34 
2 6 17 19 27 34 
4 7 14 18 26 30 
3 8 13 20 26 32 
1 6 17 21 26 33 
5 9 15 20 24 30 
1 7 15 18 25 31 
3 11 16 19 24 32 
5 8 14 23 27 30 
2 6 14 18 25 32 
4 10 15 21 29 33 
0 6 13 19 28 33 
5 11 12 20 26 31 
4 10 17 18 25 34 
5 9 13 19 27 32 
2 8 15 20 25 34 
0 11 13 21 29 30 
1 10 14 20 29 31 
4 7 12 21 27 32 
4 6 16 22 25 35 
1 7 16 22 24 30 
0 8 15 19 24 31 
2 11 17 22 26 30 
0 8 17 23 25 33 
1 11 12 19 27 30 
0 10 13 18 26 31 
3 6 15 23 27 33 
1 9 16 18 29 34 
2 11 13 23 24 34 
1 7 14 21 28 35 
3 10 12 20 27 34 
4 8 14 19 29 32 
0 9 15 18 28 32 
0 10 16 20 24 33 
2 10 17 21 24 31 
3 7 12 22 26 35 
3 8 17 21 28 30 
4 9 17 19 28 35 
4 6 17 23 24 32 
2 9 12 21 25 30 
5 8 13 18 29 33 
3 6 17 20 25 31 
1 7 13 20 27 33 
3 6 14 21 29 34 
1 10 15 23 26 35 
1 10 16 21 25 32 
0 9 14 22 25 31 
5 8 12 19 25 35 
5 6 15 18 26 34 
4 9 13 22 26 33 
0 11 16 22 27 34 
2 7 15 23 28 30 
0 6 14 20 27 35 
5 7 16 19 26 31 
5 10 12 23 28 32 
4 11 16 18 24 31 
0 8 12 20 29 35 
2 7 14 20 24 32 
3 11 13 22 28 31 
1 6 15 19 29 30 
4 9 14 18 27 33 
3 8 14 23 24 31 
2 7 12 18 29 34 
1 8 13 22 25 30 
4 7 15 19 24 34 
2 10 13 22 29 32 
1 9 15 21 27 34 
1 8 12 21 26 31 
2 9 17 20 29 33 
5 11 16 21 27 33 
0 7 17 20 26 34 
4 11 15 23 25 30 
3 10 15 19 28 35 
2 10 16 21 28 34 
5 7 17 18 27 32 
5 6 14 22 24 33 
5 9 17 23 26 31 
3 8 12 18 25 32 
2 9 15 22 24 35 
3 9 14 19 26 30 
0 7 16 19 25 30 
4 6 12 20 25 33 
1 6 13 23 29 31 
2 8 16 18 24 30 
1 11 13 18 26 35 
0 10 17 19 29 32 
4 8 15 20 27 31 
4 11 12 18 28 35 
4 7 16 23 27 35 
3 7 15 23 29 32 
5 10 14 21 26 30 
5 9 16 22 28 30 
1 6 16 19 24 35 
0 11 12 22 29 33 
3 6 13 18 27 30 
1 7 14 23 25 34 
1 8 16 19 28 33 
0 7 13 22 24 32 
2 6 12 23 26 35 
4 9 14 20 28 34 
2 8 15 21 26 32 
3 10 14 22 27 32 
0 11 17 21 27 31 
1 10 13 19 24 34 
4 11 13 19 25 31 
5 8 17 20 24 34 
5 9 15 19 25 33 
2 9 13 18 28 31 
3 6 17 18 29 35 
3 11 15 20 26 33 
0 6 15 21 25 35 
4 10 12 22 24 31 
2 11 16 20 25 35 
0 8 14 18 28 34 
1 10 17 18 28 30 
4 9 12 23 29 30 
2 6 12 22 27 31 
4 11 12 21 26 34 
5 9 14 21 24 32 
3 7 17 19 24 33 
3 8 16 22 29 31 
1 9 12 20 26 32 
5 10 13 22 27 35 
0 9 15 23 29 34 
2 10 13 23 25 33 
2 6 16 20 26 30 
0 7 14 21 29 33 
1 8 13 23 28 32 
2 7 14 21 27 31 
5 7 15 20 28 35 
4 6 16 21 27 30 
5 6 17 19 25 30 
3 10 15 18 24 32 
4 11 16 23 28 33 
3 8 13 19 27 34 
2 11 15 19 29 31 
4 6 14 19 26 31 
0 8 16 18 27 32 
4 10 17 20 26 35 
1 11 15 21 24 33 
3 9 12 21 28 33 
4 6 15 22 28 32 
0 10 12 19 25 34 
1 9 14 22 29 35 
5 10 17 22 28 33 
5 10 16 18 25 31 
5 7 13 23 26 30 
3 7 14 20 25 30 
5 8 15 22 29 34 
0 11 17 18 24 35 
1 10 12 18 27 33 
4 9 16 23 25 32 
2 10 14 22 26 34 
5 8 17 22 26 32 
3 10 13 21 27 31 
4 11 13 20 29 34 
1 7 12 19 25 32 
4 11 14 22 24 30 
2 7 16 22 25 33 
0 9 17 20 27 30 
3 11 17 23 28 34 
0 8 12 21 24 34 
0 6 16 23 28 35 
1 11 14 18 29 32 
2 8 14 23 29 35 
5 6 13 20 24 31 
1 11 16 23 27 31 
3 11 12 20 24 30 
2 8 17 18 26 31 
4 10 16 19 27 33 
2 6 13 21 24 33 
3 8 16 21 29 35 
4 8 12 19 28 30 
0 7 15 18 26 33 
5 9 12 23 27 34 
1 8 14 20 26 30 
0 6 13 20 25 32 
3 6 16 18 26 34 
2 7 17 21 25 35 
1 9 17 19 24 31 
0 6 14 23 28 30 
5 6 12 21 29 32 
2 11 12 21 28 32 
3 9 15 22 26 31 
4 11 13 23 27 32 
0 7 14 19 27 35 
4 8 15 18 29 35 
1 9 13 20 25 35 
5 7 12 23 24 33 
1 10 16 22 26 32 
3 11 14 18 27 31 
2 9 16 19 28 32 
1 7 17 21 29 30 
4 10 14 23 28 31 
3 10 15 22 25 34 
0 6 13 22 26 34 
3 8 15 20 28 33 
5 9 12 18 29 30 
2 10 14 19 24 30 
1 6 15 20 27 32 
4 8 17 22 27 33 
4 9 17 21 25 31 
3 7 13 18 24 35 
0 6 16 18 29 31 
4 7 16 20 28 31 
5 10 14 20 25 33 
3 9 16 20 27 35 
2 10 17 23 27 32 
5 10 16 19 29 34 
0 8 13 22 28 35 
3 7 15 21 24 30 
1 11 17 19 26 34 
1 11 17 18 25 33 
0 10 12 21 27 35 
2 8 12 23 25 31 
0 9 13 23 24 30 
3 6 14 19 28 32 
5 7 14 22 29 31 
3 9 17 18 26 32 
1 8 12 22 24 32 
1 6 14 18 24 33 
0 11 15 20 28 34 
2 8 13 19 27 30 
2 6 16 23 29 33 
2 9 13 19 26 34 
3 7 13 21 26 32 
5 8 13 21 28 31 
4 8 14 21 25 35 
3 11 13 19 29 33 
3 7 15 22 27 34 
1 6 16 20 24 34 
0 8 12 19 26 30 
5 10 16 23 24 35 
4 6 13 18 28 34 
3 6 12 22 29 30 
0 9 12 18 25 35 
5 11 16 18 28 30 
5 10 15 23 27 31 
3 10 14 23 26 33 
2 10 15 20 29 35 
2 6 17 20 28 35 
2 7 12 20 29 30 
3 11 14 19 25 35 
1 9 17 23 28 30 
5 6 12 19 24 35 
0 7 17 21 28 32 
4 7 13 18 25 32 
1 8 15 22 29 33 
4 9 15 19 26 32 
3 7 16 21 29 31 
5 6 16 23 25 34 
4 9 16 21 24 33 
2 11 14 20 27 33 
0 8 12 21 27 33 
0 6 17 22 25 32 
1 9 13 21 29 32 
1 11 12 22 25 35 
1 8 14 18 27 34 
0 10 14 23 24 34 
1 7 13 19 28 31 
5 8 16 21 26 35 
2 8 17 21 29 34 
1 10 12 18 29 30 
4 11 17 20 24 30 
2 9 14 23 26 35 
2 8 15 23 24 33 
2 10 15 18 25 30 
5 8 16 20 26 33 
0 11 15 19 27 31 
4 7 16 22 28 34 
0 10 12 20 28 32 
5 11 13 18 24 34 
5 9 12 22 27 35 
3 10 16 18 25 35 
1 6 14 19 25 33 
0 7 17 23 27 30 
4 6 16 20 29 32 
2 7 12 18 26 31 
3 6 15 22 24 33 
0 11 12 23 25 34 
0 8 17 20 28 31 
5 6 13 20 27 35 
3 10 17 19 26 31 
2 6 15 23 26 30 
0 9 13 19 27 33 
1 7 16 22 26 32 
3 8 16 20 29 30 
2 9 12 18 24 33 
4 11 12 21 28 35 
2 8 15 19 25 30 
0 11 16 19 26 35 
5 7 17 21 24 31 
4 8 17 19 27 34 
5 11 16 21 29 32 
1 9 15 22 28 32 
3 6 12 23 26 32 
2 7 13 20 24 35 
4 7 17 23 25 33 
1 8 16 22 25 31 
3 9 17 22 27 34 
5 9 14 19 29 30 
4 10 17 22 26 32 
0 9 15 20 25 34 
