39

0 3 6 9 12 15 
2 5 8 11 14 17 
2 4 6 10 13 17 
1 3 8 9 14 16 
0 4 7 9 13 16 
2 3 7 10 12 16 
1 3 7 11 13 15 
0 5 6 10 14 16 
1 5 8 10 12 15 
1 4 6 11 12 16 
0 5 7 11 12 17 
1 4 7 10 14 17 
1 5 6 9 13 17 
0 3 8 10 13 17 
2 5 7 9 14 15 
0 4 8 11 14 15 
2 4 8 9 12 17 
2 3 6 11 13 16 
1 3 6 10 14 15 
2 4 7 11 12 15 
0 5 6 11 13 15 
1 4 8 10 13 16 
0 3 7 9 14 17 
2 3 8 9 13 15 
0 5 8 9 12 16 
1 5 7 11 14 16 
2 4 6 9 14 16 
1 3 8 11 12 17 
0 4 6 10 12 17 
2 5 7 10 13 15 
2 5 8 11 13 16 
1 4 7 9 12 15 
2 3 6 11 14 17 
0 4 7 10 13 15 
2 5 6 11 12 15 
2 4 7 11 13 17 
2 5 8 10 14 17 
0 3 6 11 14 16 
2 4 6 11 12 15 
