1479

0 10 20 30 40 50 
9 19 29 39 49 59 
4 18 28 36 46 57 
8 14 26 38 47 56 
4 12 27 39 49 55 
5 19 28 34 44 58 
8 15 24 36 47 59 
1 18 25 37 46 53 
7 19 28 39 42 54 
3 19 20 38 43 55 
8 18 27 32 48 59 
4 17 27 38 45 58 
9 15 29 35 42 52 
9 13 25 33 44 58 
7 19 23 35 41 58 
4 16 28 31 42 59 
2 12 24 36 48 51 
6 13 21 39 41 54 
6 11 22 36 46 59 
3 19 26 36 49 53 
6 17 26 34 43 57 
6 14 23 31 48 53 
9 19 23 30 46 51 
6 15 29 37 40 57 
6 18 28 33 49 50 
9 18 28 32 47 52 
9 11 21 38 45 59 
9 19 28 38 40 56 
0 16 28 39 47 56 
2 18 22 35 43 59 
1 16 23 37 45 51 
4 10 26 33 48 55 
5 18 29 30 46 50 
9 19 26 34 41 52 
1 18 23 32 43 54 
8 14 20 37 41 59 
7 17 29 31 47 53 
7 11 24 31 44 55 
8 19 25 34 47 57 
3 15 22 38 45 52 
2 13 27 34 49 57 
8 10 28 37 46 54 
5 19 21 39 40 57 
0 12 29 38 48 56 
3 16 26 33 43 58 
7 14 22 37 49 53 
5 18 23 37 42 59 
2 13 24 32 46 59 
6 13 24 35 44 57 
7 18 25 30 47 51 
6 12 26 37 44 50 
5 17 27 37 48 55 
1 15 20 35 49 59 
9 18 21 30 49 57 
3 10 25 39 40 55 
0 11 29 33 46 57 
4 17 22 37 46 52 
0 13 28 32 41 57 
1 13 29 39 45 55 
2 14 28 38 42 51 
3 18 20 31 42 52 
4 11 21 37 44 57 
5 19 24 33 48 50 
9 10 25 31 43 52 
9 16 22 37 47 54 
8 12 29 34 41 58 
9 12 23 35 45 56 
8 13 26 30 48 53 
2 17 28 37 40 59 
7 16 20 38 47 57 
8 17 21 39 48 56 
4 14 28 33 40 54 
0 15 27 36 46 52 
8 12 28 36 42 50 
1 15 22 34 47 51 
3 10 24 38 41 58 
5 16 29 32 45 56 
8 11 26 32 49 57 
3 11 29 37 43 53 
6 14 20 35 42 58 
4 10 27 34 47 50 
3 13 24 31 49 54 
9 11 28 36 44 51 
1 16 25 35 44 55 
4 15 21 33 43 56 
8 16 25 30 40 58 
2 19 23 31 47 56 
0 16 29 36 42 53 
9 14 27 38 41 55 
7 17 28 32 49 51 
0 18 26 34 45 56 
7 10 29 30 43 57 
8 11 22 39 40 54 
0 12 24 35 49 50 
5 18 20 33 40 58 
2 16 21 39 46 52 
1 14 28 32 48 56 
5 16 20 36 48 54 
9 15 22 36 41 57 
7 19 27 38 44 59 
8 18 28 31 44 53 
7 12 22 39 45 50 
3 14 23 39 43 57 
1 18 21 38 47 58 
4 17 25 34 42 56 
2 10 25 32 42 58 
5 17 26 30 49 58 
8 14 25 39 45 51 
7 15 25 37 41 50 
2 15 25 34 43 55 
3 19 24 35 47 52 
9 10 27 35 48 57 
8 16 26 36 41 51 
1 11 23 39 49 56 
4 11 20 32 48 53 
6 13 27 31 43 59 
0 13 23 33 48 54 
2 12 22 30 46 54 
8 10 21 34 45 52 
3 17 25 31 41 51 
8 12 20 39 46 53 
6 16 23 30 47 50 
5 10 29 38 49 55 
7 16 23 33 40 59 
8 15 26 39 44 52 
9 13 24 39 47 50 
0 18 27 38 42 57 
1 14 24 39 46 54 
4 17 21 35 47 54 
0 11 25 30 45 55 
2 16 22 34 42 50 
9 17 21 36 40 58 
9 12 22 33 48 59 
7 13 27 39 46 51 
5 17 20 38 44 53 
7 12 28 31 43 56 
6 15 25 38 49 53 
8 15 20 32 43 51 
1 16 28 33 41 52 
2 11 29 38 44 58 
5 14 25 35 49 57 
3 17 28 30 44 55 
6 10 25 36 41 56 
8 12 24 32 45 54 
1 18 29 36 40 59 
6 17 21 31 49 52 
0 17 28 35 45 52 
4 19 29 34 40 53 
2 19 27 35 42 53 
9 11 27 32 42 56 
2 19 22 33 45 51 
3 13 26 34 40 50 
9 10 21 32 46 53 
2 14 26 31 44 57 
0 14 27 30 49 54 
9 16 24 32 43 55 
7 15 20 39 48 55 
5 15 23 35 48 51 
1 17 29 38 41 50 
4 12 20 30 44 59 
6 18 26 31 47 54 
4 13 23 32 49 52 
2 18 24 37 45 50 
3 18 21 33 46 54 
1 19 21 33 42 55 
5 18 24 36 44 52 
4 10 22 36 45 54 
0 13 21 38 49 51 
5 11 23 33 47 55 
0 11 20 31 43 54 
3 12 27 37 41 57 
1 10 26 36 44 58 
0 13 22 34 46 58 
9 15 20 30 45 58 
6 12 21 34 47 55 
0 14 21 35 46 56 
9 14 26 39 40 53 
7 15 24 30 46 53 
1 14 20 34 43 50 
9 12 29 31 40 55 
8 12 22 35 44 51 
7 12 21 37 42 51 
6 12 23 39 42 52 
5 11 28 35 41 59 
3 17 23 32 46 56 
4 10 20 31 49 58 
2 11 24 33 41 56 
1 13 27 35 47 56 
6 16 24 34 40 54 
8 19 22 37 48 58 
9 19 21 35 43 50 
5 15 22 30 42 56 
3 14 26 32 45 55 
1 10 28 38 43 59 
8 11 23 31 42 51 
7 13 20 35 40 54 
4 16 27 30 48 56 
2 13 28 35 48 50 
2 16 25 33 47 53 
6 17 20 33 41 55 
7 10 22 32 48 52 
3 15 24 37 44 56 
5 15 26 36 40 55 
0 14 26 37 48 51 
6 10 29 39 44 53 
8 11 29 36 48 52 
8 11 27 35 45 50 
